title;system;thumbnail
"Alien 3 (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%203%20(USA,%20Europe).png"
Alien Olympics (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%20Olympics%20(Europe).png
Alien vs Predator (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%20vs%20Predator%20(Japan).png
Alien vs Predator - The Last of His Clan (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%20vs%20Predator%20-%20The%20Last%20of%20His%20Clan%20(USA).png
All-Star Baseball 99 (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/All-Star%20Baseball%2099%20(USA).png
Alleyway (World);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alleyway%20(World).png
Alphamax (World) (Aftermarket) (Unl);gb;
Altered Space - A 3-D Alien Adventure (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Altered%20Space%20-%20A%203-D%20Alien%20Adventure%20(Europe).png
Altered Space - A 3-D Alien Adventure (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Altered%20Space%20-%20A%203-D%20Alien%20Adventure%20(Japan).png
Altered Space - A 3-D Alien Adventure (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Altered%20Space%20-%20A%203-D%20Alien%20Adventure%20(USA).png
"Amazing Penguin (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Amazing%20Penguin%20(USA,%20Europe).png"
"Amazing Spider-Man, The (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Amazing%20Spider-Man,%20The%20(USA,%20Europe).png"
America Oudan Ultra Quiz (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/America%20Oudan%20Ultra%20Quiz%20(Japan).png
America Oudan Ultra Quiz Part 2 (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/America%20Oudan%20Ultra%20Quiz%20Part%202%20(Japan).png
America Oudan Ultra Quiz Part 2 (Japan) (Rev 1);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/America%20Oudan%20Ultra%20Quiz%20Part%202%20(Japan).png
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/America%20Oudan%20Ultra%20Quiz%20Part%203%20-%20Champion%20Taikai%20(Japan).png
America Oudan Ultra Quiz Part 4 (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/America%20Oudan%20Ultra%20Quiz%20Part%204%20(Japan).png
Amida (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Amida%20(Japan).png
Animal Breeder (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Animal%20Breeder%20(Japan)%20(SGB%20Enhanced).png
Animal Breeder 2 (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Animal%20Breeder%202%20(Japan)%20(SGB%20Enhanced).png
Animaniacs (Europe) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Animaniacs%20(Europe)%20(SGB%20Enhanced).png
Animaniacs (USA) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Animaniacs%20(USA)%20(SGB%20Enhanced).png
Another Bible (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Another%20Bible%20(Japan)%20(SGB%20Enhanced).png
Aoki Densetsu Shoot! (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aoki%20Densetsu%20Shoot!%20(Japan)%20(SGB%20Enhanced).png
Aprilia - DiTech Interface (Unknown) (Unl) [b];gb;
"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)";gb;
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)";gb;
Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced);gb;
Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced);gb;
"Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)";gb;
"Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)";gb;
Aretha (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aretha%20(Japan).png
Aretha II (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aretha%20II%20(Japan).png
Aretha III (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aretha%20III%20(Japan).png
Art School Pocket (World) (En) (Aftermarket) (Unl);gb;
Art School Pocket (World) (Es) (Aftermarket) (Unl);gb;
Art School Pocket (World) (Fr) (Aftermarket) (Unl);gb;
Art School Pocket (World) (De) (Aftermarket) (Unl);gb;
Asmik-kun World 2 (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Asmik-kun%20World%202%20(Japan).png
"Asterix (Europe) (En,Fr,De,Es,It)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Asterix%20(Europe)%20(En,Fr,De,Es,It).png"
"Asterix & Obelix (Spain) (En,Es) (SGB Enhanced)";gb;
"Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced)";gb;
"Asteroids (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Asteroids%20(USA,%20Europe).png"
Asteroids Chasers (World) (Aftermarket) (Unl);gb;
Astro Rabby (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Astro%20Rabby%20(Japan).png
Astro-Jump (World) (Aftermarket) (Unl);gb;
Atomic Punk (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Atomic%20Punk%20(USA).png
Attack of the Killer Tomatoes (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Attack%20of%20the%20Killer%20Tomatoes%20(Japan).png
"Attack of the Killer Tomatoes (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Attack%20of%20the%20Killer%20Tomatoes%20(USA,%20Europe).png"
Auto Zone (World) (Aftermarket) (Unl);gb;
"Avenging Spirit (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Avenging%20Spirit%20(USA,%20Europe).png"
Ayakashi no Shiro (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Ayakashi%20no%20Shiro%20(Japan).png
B.C. Kid (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/B.C.%20Kid%20(Europe).png
B.C. Kid 2 (Europe) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/B.C.%20Kid%202%20(Europe)%20(SGB%20Enhanced).png
Baby T-Rex (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Baby%20T-Rex%20(Europe).png
Bakenou TV '94 (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bakenou%20TV%20'94%20(Japan)%20(SGB%20Enhanced).png
Bakenou V3 (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bakenou%20V3%20(Japan).png
Bakuchou Retrieve Master (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bakuchou%20Retrieve%20Master%20(Japan)%20(SGB%20Enhanced).png
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bakuchou%20Retsuden%20Shou%20-%20Hyper%20Fishing%20(Japan)%20(SGB%20Enhanced).png
